period,stateid,stateDescription,sectorid,sectorName,customers,price,sales,customers-units,price-units,sales-units
2024,IA,Iowa,RES,residential,1467320,13.55,14532.65695,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,IN,Indiana,RES,residential,3001538,14.84,33221.67193,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,IL,Illinois,RES,residential,5371352,15.92,45177.24321,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,RI,Rhode Island,RES,residential,459607,28.07,3130.43738,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,PA,Pennsylvania,RES,residential,5525582,17.79,54433.25442,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,OR,Oregon,RES,residential,1883053,14.63,19874.8273,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,OK,Oklahoma,RES,residential,1899130,12.24,24563.2406,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,OH,Ohio,RES,residential,5103505,16.07,52406.16913,number of customers,cents per kilowatt-hour,million kilowatt hours
2024,ND,North Dakota,RES,residential,398751,11.49,4928.88493,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,NY,New York,RES,residential,7384444,22.24,50113.25801,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,IN,Indiana,RES,residential,3018496,14.94,31739.24301,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,IL,Illinois,RES,residential,5394659,15.71,43319.74702,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,ID,Idaho,RES,residential,845896,11.05,9793.265,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,HI,Hawaii,RES,residential,446203,42.39,2693.161,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,GA,Georgia,RES,residential,4703796,13.69,58412.499,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,FL,Florida,RES,residential,10222476,15.21,135805.02199,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,MI,Michigan,RES,residential,4496300,18.84,32533.71699,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,MA,Massachusetts,RES,residential,2886203,29.61,19365.82499,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,MD,Maryland,RES,residential,2432423,16.6,26107.722,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,ME,Maine,RES,residential,731969,27.42,4918.678,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,LA,Louisiana,RES,residential,2137199,11.55,31746.56999,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,KY,Kentucky,RES,residential,2057705,12.65,24552.708,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,KS,Kansas,RES,residential,1306777,13.38,13815.43398,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,IA,Iowa,RES,residential,1436037,13.31,14581.84499,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,NM,New Mexico,RES,residential,928216,13.85,7336.27702,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,NJ,New Jersey,RES,residential,3702963,17.7,28414.87101,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,NH,New Hampshire,RES,residential,647007,28.15,4654.97799,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,NV,Nevada,RES,residential,1288498,16.67,13508.82,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,NE,Nebraska,RES,residential,893123,11.2,10670.54998,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,MT,Montana,RES,residential,549248,12.54,5755.52201,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,MO,Missouri,RES,residential,2906438,12.58,34964.573,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,MS,Mississippi,RES,residential,1335278,13.23,18544.19,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,MN,Minnesota,RES,residential,2551574,14.73,23023.27501,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,WY,Wyoming,RES,residential,283729,11.46,2947.863,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,WI,Wisconsin,RES,residential,2813580,16.88,22218.86098,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,WV,West Virginia,RES,residential,864768,14.05,10233.82399,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,WA,Washington,RES,residential,3319836,10.98,38940.142,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,VA,Virginia,RES,residential,3615939,14.26,43095.83801,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,VT,Vermont,RES,residential,322405,20.82,2176.314,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,DC,District of Columbia,RES,residential,312982,16.45,2371.637,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,DE,Delaware,RES,residential,468358,15.73,4931.847,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,CT,Connecticut,RES,residential,1541895,29.88,12553.29899,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,CO,Colorado,RES,residential,2517452,14.3,19999.33299,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,CA,California,RES,residential,14063972,29.51,82820.89801,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,AR,Arkansas,RES,residential,1459802,12.25,18373.97099,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,AZ,Arizona,RES,residential,3068552,14.02,38992.365,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,AK,Alaska,RES,residential,296192,23.9,2050.667,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,AL,Alabama,RES,residential,2353274,14.63,31409.652,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,UT,Utah,RES,residential,1244066,11.2,11328.26401,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,TX,Texas,RES,residential,12257008,14.46,168610.87498,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,TN,Tennessee,RES,residential,3106778,12.19,41350.56699,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,SD,South Dakota,RES,residential,426548,12.32,5245.819,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,SC,South Carolina,RES,residential,2518272,13.68,30898.32901,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,RI,Rhode Island,RES,residential,450190,27.02,2995.162,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,PA,Pennsylvania,RES,residential,5516157,18.1,52327.64301,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,OR,Oregon,RES,residential,1843683,12.73,20444.54399,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,OK,Oklahoma,RES,residential,1857151,12.08,23817.506,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,OH,Ohio,RES,residential,5110814,15.38,49713.53801,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,ND,North Dakota,RES,residential,395002,11.01,5067.156,number of customers,cents per kilowatt-hour,million kilowatt hours
2023,NC,North Carolina,RES,residential,4951380,12.93,58737.51997,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,AL,Alabama,RES,residential,2329559,14.25,32923.57299,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,OR,Oregon,RES,residential,1826286,11.42,20725.899,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,OK,Oklahoma,RES,residential,1839083,12.44,25479.14402,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,OH,Ohio,RES,residential,5082414,13.85,53312.216,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,ND,North Dakota,RES,residential,392470,10.92,5271.904,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,NC,North Carolina,RES,residential,4855658,11.62,62443.95303,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,WY,Wyoming,RES,residential,281464,11.09,3008.68001,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,NY,New York,RES,residential,7346236,22.08,52227.41299,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,NM,New Mexico,RES,residential,921109,13.84,7282.636,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,WI,Wisconsin,RES,residential,2786457,15.62,22887.92805,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,WV,West Virginia,RES,residential,863905,13.23,11136.97,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,WA,Washington,RES,residential,3273505,10.26,39775.84899,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,VA,Virginia,RES,residential,3583371,13.34,46717.547,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,NJ,New Jersey,RES,residential,3675569,16.74,30062.192,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,VT,Vermont,RES,residential,320849,19.93,2186.66701,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,UT,Utah,RES,residential,1207878,10.84,11344.26499,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,TX,Texas,RES,residential,12063147,13.76,170596.46002,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,TN,Tennessee,RES,residential,3058391,12.25,43603.987,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,SD,South Dakota,RES,residential,419358,12.09,5322.906,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,SC,South Carolina,RES,residential,2472265,13.59,32287.075,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,RI,Rhode Island,RES,residential,448184,23.21,3168.339,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,PA,Pennsylvania,RES,residential,5504325,15.94,56413.21816,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,NH,New Hampshire,RES,residential,642870,25.46,4808.32201,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,NV,Nevada,RES,residential,1270155,13.78,14306.529,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,NE,Nebraska,RES,residential,877619,10.79,10983.64901,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,MT,Montana,RES,residential,540745,11.33,5894.49901,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,MO,Missouri,RES,residential,2882259,11.74,37244.97003,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,MS,Mississippi,RES,residential,1329184,12.41,18917.877,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,MN,Minnesota,RES,residential,2523110,14.25,23418.31302,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,MI,Michigan,RES,residential,4475317,17.86,35034.97101,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,MA,Massachusetts,RES,residential,2888583,25.97,20006.891,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,MD,Maryland,RES,residential,2415655,14.46,28065.37901,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,ME,Maine,RES,residential,728053,22.44,5090.87401,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,LA,Louisiana,RES,residential,2128425,12.93,31444.70799,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,KY,Kentucky,RES,residential,2045252,12.91,26840.18599,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,KS,Kansas,RES,residential,1297400,13.99,14443.52202,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,IA,Iowa,RES,residential,1426164,13.15,15192.859,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,IN,Indiana,RES,residential,2988151,14.59,34058.49798,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,IL,Illinois,RES,residential,5376734,15.65,46479.195,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,ID,Idaho,RES,residential,826329,10.37,9963.65301,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,HI,Hawaii,RES,residential,444854,43.03,2748.47901,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,GA,Georgia,RES,residential,4648898,13.8,61140.241,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,FL,Florida,RES,residential,10066753,13.9,134245.97501,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,DC,District of Columbia,RES,residential,306464,14.18,2519.079,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,DE,Delaware,RES,residential,461484,13.71,5210.069,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,CT,Connecticut,RES,residential,1536217,24.61,13190.687,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,CO,Colorado,RES,residential,2480555,14.19,20593.94201,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,CA,California,RES,residential,13942174,25.84,89542.20798,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,AR,Arkansas,RES,residential,1445528,12.05,19250.66101,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,AZ,Arizona,RES,residential,3013393,13.02,38367.633,number of customers,cents per kilowatt-hour,million kilowatt hours
2022,AK,Alaska,RES,residential,294370,23.1,2050.472,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,IL,Illinois,RES,residential,5361717,13.18,46813.06799,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,WY,Wyoming,RES,residential,278599,11.17,2897.498,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,WI,Wisconsin,RES,residential,2761990,14.52,22864.04701,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,WV,West Virginia,RES,residential,863647,12.15,11050.705,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,WA,Washington,RES,residential,3220813,10.11,38021.233,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,SD,South Dakota,RES,residential,412657,12.22,5043.96402,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,UT,Utah,RES,residential,1176949,10.43,10950.41501,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,TX,Texas,RES,residential,11815251,12.11,155075.13599,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,TN,Tennessee,RES,residential,3016642,11.07,42840.44199,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,VA,Virginia,RES,residential,3551532,11.96,46634.411,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,VT,Vermont,RES,residential,319444,19.26,2174.48902,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,CT,Connecticut,RES,residential,1530251,21.91,13092.128,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,MT,Montana,RES,residential,531398,11.22,5559.44601,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,MO,Missouri,RES,residential,2861933,11.41,35668.40901,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,NV,Nevada,RES,residential,1249392,11.49,14373.357,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,NE,Nebraska,RES,residential,869656,10.75,10492.369,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,OR,Oregon,RES,residential,1805684,11.37,20285.346,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,OK,Oklahoma,RES,residential,1818813,11,23745.86701,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,PA,Pennsylvania,RES,residential,5477367,13.76,55945.17598,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,NJ,New Jersey,RES,residential,3648914,16.35,30090.371,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,NH,New Hampshire,RES,residential,638267,19.85,4831.911,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,DE,Delaware,RES,residential,453758,12.52,5170.38,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,DC,District of Columbia,RES,residential,298337,13.09,2528.049,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,AZ,Arizona,RES,residential,2953823,12.54,37130.339,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,AK,Alaska,RES,residential,292451,22.55,2083.91101,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,AL,Alabama,RES,residential,2308226,12.96,31585.153,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,CO,Colorado,RES,residential,2443109,13.07,20625.00501,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,CA,California,RES,residential,13883994,22.82,90284.143,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,AR,Arkansas,RES,residential,1436246,11.27,18918.015,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,SC,South Carolina,RES,residential,2426703,12.86,31385.79599,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,RI,Rhode Island,RES,residential,446320,22.3,3131.533,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,NC,North Carolina,RES,residential,4774592,11.32,60914.68399,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,NY,New York,RES,residential,7256212,19.48,52156.88199,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,NM,New Mexico,RES,residential,914495,13.52,7088.358,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,OH,Ohio,RES,residential,5041904,12.77,53171.19298,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,ND,North Dakota,RES,residential,391340,10.85,4888.401,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,MS,Mississippi,RES,residential,1321576,11.56,18569.936,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,ID,Idaho,RES,residential,806421,10.16,9300.843,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,HI,Hawaii,RES,residential,443535,33.49,2825.08201,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,GA,Georgia,RES,residential,4560653,12.51,58684.96201,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,FL,Florida,RES,residential,9917113,11.9,130412.464,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,MI,Michigan,RES,residential,4458038,17.54,35868.09999,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,MA,Massachusetts,RES,residential,2840311,22.89,20305.269,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,MN,Minnesota,RES,residential,2496406,13.5,23246.05498,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,MD,Maryland,RES,residential,2395954,13.12,27964.54501,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,ME,Maine,RES,residential,722038,17.02,5062.266,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,LA,Louisiana,RES,residential,2126155,11.02,30408.22401,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,IA,Iowa,RES,residential,1417424,12.73,14651.755,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,IN,Indiana,RES,residential,2948803,13.37,33471.97,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,KY,Kentucky,RES,residential,2032575,11.5,26434.371,number of customers,cents per kilowatt-hour,million kilowatt hours
2021,KS,Kansas,RES,residential,1289344,12.98,13769.41001,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,RI,Rhode Island,RES,residential,441573,22.01,3148.021,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,AK,Alaska,RES,residential,315208,22.57,2089.04601,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,AL,Alabama,RES,residential,2280741,12.57,31331.04101,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,MN,Minnesota,RES,residential,2464753,13.17,22935.67203,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,NH,New Hampshire,RES,residential,633234,19.04,4790.374,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,NV,Nevada,RES,residential,1226566,11.34,14321.60701,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,NE,Nebraska,RES,residential,864842,10.8,10514.944,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,MT,Montana,RES,residential,522382,11.24,5379.96501,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,MO,Missouri,RES,residential,2833918,11.22,34950.36999,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,MS,Mississippi,RES,residential,1308149,11.17,17994.83299,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,ID,Idaho,RES,residential,782559,9.95,8970.75099,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,HI,Hawaii,RES,residential,442002,30.28,2849.114,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,OH,Ohio,RES,residential,5014959,12.29,52552.76998,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,ND,North Dakota,RES,residential,387506,10.44,5046.55099,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,NC,North Carolina,RES,residential,4695096,11.38,58641.572,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,NY,New York,RES,residential,7239162,18.36,52257.14399,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,NM,New Mexico,RES,residential,905885,12.94,7282.07899,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,NJ,New Jersey,RES,residential,3618587,16.03,29676.857,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,CA,California,RES,residential,13834719,20.45,94934.56301,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,PA,Pennsylvania,RES,residential,5448109,13.58,55307.093,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,OR,Oregon,RES,residential,1785131,11.17,19628.011,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,OK,Oklahoma,RES,residential,1795629,10.12,23232.47299,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,MI,Michigan,RES,residential,4423595,16.26,35862.91179,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,MA,Massachusetts,RES,residential,2817549,21.97,20345.178,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,MD,Maryland,RES,residential,2376983,13.01,27306.375,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,DE,Delaware,RES,residential,446276,12.56,4991.134,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,CT,Connecticut,RES,residential,1521112,22.71,12981.839,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,CO,Colorado,RES,residential,2400357,12.36,20482.50199,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,GA,Georgia,RES,residential,4487431,12.02,58220.28,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,FL,Florida,RES,residential,9731237,11.27,133298.86899,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,DC,District of Columbia,RES,residential,290466,12.63,2452.589,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,WA,Washington,RES,residential,3168238,9.87,36858.798,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,VA,Virginia,RES,residential,3506844,12.03,46088.846,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,VT,Vermont,RES,residential,316948,19.54,2157.001,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,UT,Utah,RES,residential,1143136,10.44,10546.793,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,TX,Texas,RES,residential,11515333,11.71,156414.81901,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,TN,Tennessee,RES,residential,2930482,10.76,41084.91099,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,SD,South Dakota,RES,residential,407532,11.75,5070.024,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,SC,South Carolina,RES,residential,2377020,12.78,30826.01699,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,WY,Wyoming,RES,residential,276029,11.11,2879.528,number of customers,cents per kilowatt-hour,million kilowatt hours
2020,WI,Wisconsin,RES,residential,2742424,14.32,22846.73402,number of customers,cents per kilowatt-hour,million kilowatt hours
